Reason_1,Reason_2,Reason_3,Reason_4,Date,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours,Month Value,Day of the week
0,0,0,1,2015-07-07,289,36,33,239.554,30,0,2,1,4,7,1
0,0,0,0,2015-07-14,118,13,50,239.554,31,0,1,0,0,7,1
0,0,0,1,2015-07-15,179,51,38,239.554,31,0,0,0,2,7,2
1,0,0,0,2015-07-16,279,5,39,239.554,24,0,2,0,4,7,3
0,0,0,1,2015-07-23,289,36,33,239.554,30,0,2,1,2,7,3
0,0,0,1,2015-07-10,179,51,38,239.554,31,0,0,0,2,7,4
0,0,0,1,2015-07-17,361,52,28,239.554,27,0,1,4,8,7,4
0,0,0,1,2015-07-24,260,50,36,239.554,23,0,4,0,4,7,4
0,0,1,0,2015-07-06,155,12,34,239.554,25,0,2,0,40,7,0
0,0,0,1,2015-07-13,235,11,37,239.554,29,1,1,1,8,7,0
1,0,0,0,2015-07-20,260,50,36,239.554,23,0,4,0,8,7,0
1,0,0,0,2015-07-14,260,50,36,239.554,23,0,4,0,8,7,1
1,0,0,0,2015-07-15,260,50,36,239.554,23,0,4,0,8,7,2
1,0,0,0,2015-07-15,179,51,38,239.554,31,0,0,0,1,7,2
0,0,0,1,2015-07-15,179,51,38,239.554,31,0,0,0,4,7,2
1,0,0,0,2015-07-17,246,25,41,239.554,23,0,0,0,8,7,4
0,0,0,1,2015-07-17,179,51,38,239.554,31,0,0,0,2,7,4
0,0,1,0,2015-07-27,179,51,38,239.554,31,0,0,0,8,7,0
1,0,0,0,2015-07-30,189,29,33,239.554,25,0,2,2,8,7,3
0,0,0,1,2015-08-05,248,25,47,205.917,32,0,2,1,2,8,2
1,0,0,0,2015-08-12,330,16,28,205.917,25,1,0,0,8,8,2
1,0,0,0,2015-08-03,179,51,38,205.917,31,0,0,0,1,8,0
1,0,0,0,2015-08-10,361,52,28,205.917,27,0,1,4,40,8,0
0,0,0,1,2015-08-14,260,50,36,205.917,23,0,4,0,4,8,4
0,0,1,0,2015-08-17,289,36,33,205.917,30,0,2,1,8,8,0
0,0,0,1,2015-08-24,361,52,28,205.917,27,0,1,4,7,8,0
0,0,0,1,2015-08-04,289,36,33,205.917,30,0,2,1,1,8,1
0,0,0,1,2015-08-12,157,27,29,205.917,22,0,0,0,4,8,2
0,0,1,0,2015-08-19,289,36,33,205.917,30,0,2,1,8,8,2
0,0,0,1,2015-08-28,179,51,38,205.917,31,0,0,0,2,8,4
0,0,1,0,2015-08-17,179,51,38,205.917,31,0,0,0,8,8,0
0,0,1,0,2015-08-27,235,29,48,205.917,33,0,1,5,8,8,3
0,0,0,1,2015-08-27,235,11,37,205.917,29,1,1,1,4,8,3
0,0,1,0,2015-08-17,235,29,48,205.917,33,0,1,5,8,8,0
0,0,0,1,2015-08-17,179,51,38,205.917,31,0,0,0,2,8,0
0,0,0,1,2015-08-17,361,52,28,205.917,27,0,1,4,1,8,0
0,0,0,1,2015-08-04,289,36,33,205.917,30,0,2,1,8,8,1
1,0,0,0,2015-08-20,291,50,32,205.917,23,0,0,0,4,8,3
0,0,0,1,2015-08-21,235,29,48,205.917,33,0,1,5,8,8,4
0,0,0,1,2015-08-28,260,50,36,205.917,23,0,4,0,4,8,4
0,0,0,1,2015-09-01,184,42,27,241.476,21,0,0,0,2,9,1
0,0,0,1,2015-09-07,118,10,37,241.476,28,0,0,0,4,9,0
0,0,0,1,2015-09-01,179,51,38,241.476,31,0,0,0,4,9,1
0,0,1,0,2015-09-08,235,20,43,241.476,38,0,1,0,8,9,1
0,0,0,1,2015-09-09,155,12,34,241.476,25,0,2,0,2,9,2
0,0,0,1,2015-09-13,118,10,37,241.476,28,0,0,0,3,9,6
0,0,0,1,2015-09-14,179,51,38,241.476,31,0,0,0,3,9,0
0,0,0,1,2015-09-24,291,31,40,241.476,25,0,1,1,4,9,3
0,0,0,1,2015-09-04,260,50,36,241.476,23,0,4,0,8,9,4
1,0,0,0,2015-09-14,291,31,40,241.476,25,0,1,1,32,9,0
0,0,0,0,2015-09-21,260,50,36,241.476,23,0,4,0,0,9,0
0,0,0,0,2015-09-28,225,26,28,241.476,24,0,1,2,0,9,0
0,0,0,1,2015-09-08,225,26,28,241.476,24,0,1,2,2,9,1
0,0,0,1,2015-09-15,118,10,37,241.476,28,0,0,0,2,9,1
0,0,0,0,2015-09-22,289,36,33,241.476,30,0,2,1,0,9,1
0,0,0,0,2015-09-29,118,13,50,241.476,31,0,1,0,0,9,1
0,0,1,0,2015-09-16,225,26,28,241.476,24,0,1,2,3,9,2
0,0,0,1,2015-09-23,179,51,38,241.476,31,0,0,0,3,9,2
0,0,0,0,2015-09-30,369,17,31,241.476,25,0,3,0,0,9,2
0,0,0,1,2015-09-11,248,25,47,241.476,32,0,2,1,1,9,4
0,0,0,1,2015-09-18,179,51,38,241.476,31,0,0,0,3,9,4
0,0,0,1,2015-09-25,260,50,36,241.476,23,0,4,0,4,9,4
0,0,0,1,2015-10-06,179,51,38,253.465,31,0,0,0,3,10,1
0,0,0,1,2015-10-13,118,10,37,253.465,28,0,0,0,3,10,1
0,0,0,0,2015-10-14,118,13,50,253.465,31,0,1,0,0,10,2
0,0,0,1,2015-10-15,179,26,30,253.465,19,1,0,0,1,10,3
0,0,0,1,2015-10-16,179,51,38,253.465,31,0,0,0,3,10,4
0,0,0,1,2015-10-16,225,26,28,253.465,24,0,1,2,3,10,4
0,0,0,1,2015-10-06,118,10,37,253.465,28,0,0,0,3,10,1
0,0,0,1,2015-10-14,225,26,28,253.465,24,0,1,2,2,10,2
0,0,0,1,2015-10-21,248,25,47,253.465,32,0,2,1,2,10,2
0,0,0,1,2015-10-22,291,31,40,253.465,25,0,1,1,5,10,3
0,0,0,1,2015-10-21,179,51,38,253.465,31,0,0,0,8,10,2
0,0,0,1,2015-10-21,225,26,28,253.465,24,0,1,2,3,10,2
0,0,1,0,2015-10-22,260,50,36,253.465,23,0,4,0,16,10,3
1,0,0,0,2015-10-13,291,31,40,253.465,25,0,1,1,8,10,1
0,0,0,1,2015-10-20,225,26,28,253.465,24,0,1,2,2,10,1
0,0,0,1,2015-10-21,289,36,33,253.465,30,0,2,1,8,10,2
0,0,0,1,2015-10-23,361,52,28,253.465,27,0,1,4,1,10,4
0,0,0,1,2015-10-30,260,50,36,253.465,23,0,4,0,3,10,4
0,0,0,1,2015-11-05,179,51,38,306.345,31,0,0,0,1,11,3
0,0,0,1,2015-11-04,225,26,28,306.345,24,0,1,2,1,11,2
1,0,0,0,2015-11-05,179,51,38,306.345,31,0,0,0,8,11,3
