id_cliente,compras,recencia,valor
1,4,4.9,172.37
2,2,11,172.37
3,4,4.7,157.17
4,1,10.2,158.14
5,3,8.9,172.61
6,1,12,311.14
7,1,10.3,163.73
8,2,9.5,390.1
9,1,11.9,436.53
10,3,4.4,258.86
11,1,7,177.9
12,10,4.2,505.27
13,3,6.4,326.83
14,1,6,209.1
15,2,8.4,561.03
16,3,10.45,173.66
17,4,6.8,189.29
18,1,4.2,302.66
19,4,7.2,249.8
20,1,7.5,240.93
21,3,11.5,307.25
22,2,9,157.91
23,3,6.35,147.4
24,1,5,278.05
25,2,7.8,129.53
26,1,10,150.5
27,1,7.9,500.48
28,3,12,115.78
29,2,8.1,472.66
30,1,5,208.84
31,1,7.05,300.74
32,1,10.1,154.91
33,1,11,218.6
34,2,8.7,416.27
35,2,10.9,259.6
36,2,8.5,163.49
37,2,10,259.44
38,2,7.15,159.09
39,3,8.9,177.35
40,1,9.75,233.24
41,2,7.1,235.87
42,1,9,197.78
43,7,2.5,357.53
44,1,3.9,195.41
45,4,7,436.56
46,2,6.2,260.69
47,3,5.9,337.4
48,3,9,244.46
49,4,7.9,218.46
50,4,11.2,436.78
51,4,8,74.79
52,2,7.3,258.89
53,2,7.95,235.62
54,4,5.1,261.56
55,1,6.2,72.99
56,6,3.8,575.78
57,1,5.4,185.82
58,1,6.85,138.42
59,4,6.6,543.2
60,1,8.7,294.12
61,1,9.5,162.01
62,4,9.2,226.63
63,3,10.7,346.17
64,2,9.2,544.83
65,3,8,92.68
66,1,6,219.61
67,1,11.3,182.88
68,3,4.2,114.63
69,3,8.1,163.92
70,4,10.3,273.35
71,3,8.2,273.67
72,1,10,254.16
73,2,11,62.74
74,9,5.5,562.48
75,1,7.9,296.35
76,3,5,306.44
77,1,6.7,245.96
78,4,3.4,238.89
79,1,7.5,300.59
80,3,12,272.71
81,3,10.4,178.14
82,1,10.9,169.54
83,1,11.2,328.77
84,5,10.7,260.13
85,1,6.5,510.12
86,10,5,312.07
87,1,7.6,87.96
88,2,7.5,500.12
89,3,8.75,96.24
90,2,7.75,261.25
91,2,4.7,251.21
