Ano_Mes;Faturamento
2021-01-01;43484
2021-02-01;45859
2021-03-01;56254
2021-04-01;58224
2021-05-01;75403
2021-06-01;61255
2021-07-01;65601
2021-08-01;80099
2021-09-01;75017
2021-10-01;87932
2021-11-01;95266
2021-12-01;79175
2022-01-01;54085
2022-02-01;63808
2022-03-01;66330
2022-04-01;72442
2022-05-01;83072
2022-06-01;71321
2022-07-01;70095
2022-08-01;99071
2022-09-01;103100
2022-10-01;98380
2022-11-01;113751
2022-12-01;84933
2023-01-01;65096
2023-02-01;72546
2023-03-01;93375
2023-04-01;88548
2023-05-01;83629
2023-06-01;84438
2023-07-01;97445
2023-08-01;114500
2023-09-01;127127
2023-10-01;122751
2023-11-01;136693
2023-12-01;111804
2024-01-01;78111
2024-02-01;87265
2024-03-01;102945
2024-04-01;105157
2024-05-01;118438
2024-06-01;104727
2024-07-01;111890
2024-08-01;141438
2024-09-01;145518
2024-10-01;148990
2024-11-01;166423
2024-12-01;132875
