id,loan_amnt,funded_amnt,int_rate,installment,total_pymnt,issue_date,loan_status,term_months,sub_grade,verification_status,state_address
48010226.0,35000.0,35000.0,13.33,1184.86,9452.96,5,1,36,13,1,1
57693261.0,30000.0,30000.0,28.99,938.57,4679.7,0,1,36,5,1,4
59432726.0,15000.0,15000.0,28.99,494.86,1969.83,9,1,36,10,1,4
53222800.0,9600.0,9600.0,28.99,300.35,1793.68,7,1,36,5,0,3
57803010.0,8075.0,8075.0,19.19,296.78,1178.51,8,1,36,23,1,2
63398019.0,14400.0,14400.0,13.99,334.99,681.17,10,1,60,14,0,2
60850626.0,35000.0,13000.0,24.99,381.5,1126.45,9,1,60,29,1,1
46816139.0,7500.0,7500.0,13.33,253.9,2025.65,4,1,36,13,0,2
63918356.0,8000.0,8000.0,28.99,250.29,497.07,11,1,36,5,1,4
63651616.0,7200.0,7200.0,28.99,241.18,512.57,11,1,36,12,0,2
56069330.0,35000.0,6200.0,15.61,216.79,1073.2,7,1,36,16,1,2
39641145.0,21000.0,21000.0,28.99,701.42,5582.45,1,0,36,11,0,3
52311217.0,15000.0,15000.0,13.33,343.84,15643.5,6,0,60,13,0,1
65775524.0,10000.0,10000.0,13.18,228.46,217.48,11,1,60,13,0,2
57336468.0,21000.0,21000.0,28.99,700.42,3487.76,8,0,36,11,0,1
41480201.0,12725.0,12725.0,17.86,322.17,14262.61,3,1,60,20,1,2
58390667.0,22900.0,22900.0,19.99,606.59,2982.09,8,1,60,24,0,1
57155656.0,4000.0,4000.0,28.99,131.97,672.29,0,1,36,10,1,2
49218915.0,16875.0,16875.0,19.19,439.52,2736.06,6,1,60,23,1,2
50364957.0,14400.0,14400.0,28.99,446.35,3118.64,6,1,36,4,0,2
65985055.0,12000.0,12000.0,28.99,371.96,0.0,12,1,36,4,0,1
61772655.0,20150.0,20150.0,28.99,642.37,1274.47,10,1,36,7,1,2
59230683.0,21000.0,21000.0,28.99,657.0,12609.59,9,1,36,5,0,2
58030770.0,13200.0,13200.0,28.99,403.01,2010.47,8,1,36,2,0,2
65676913.0,15000.0,15000.0,28.99,457.97,447.57,11,1,60,2,0,4
63177012.0,11250.0,11250.0,28.99,377.38,738.9,0,1,36,12,1,2
41021489.0,16400.0,16400.0,28.99,381.52,3789.71,3,1,60,14,1,1
60417140.0,8400.0,8400.0,28.99,262.8,1047.52,0,1,36,5,1,1
43125650.0,28000.0,28000.0,19.52,734.38,7313.44,3,1,60,23,1,2
65662544.0,20000.0,20000.0,15.41,480.12,454.44,11,1,60,16,1,1
40298097.0,35000.0,13000.0,16.49,460.2,5038.38,2,1,36,18,1,2
66464411.0,18000.0,18000.0,15.41,432.11,0.0,12,1,60,20,1,1
65404741.0,10000.0,10000.0,28.99,329.72,313.76,11,1,36,10,1,3
51880826.0,6000.0,6000.0,28.99,196.41,1347.39,6,1,36,9,1,4
59543019.0,24000.0,24000.0,21.99,662.72,2621.56,9,0,60,26,1,2
57862311.0,21600.0,21600.0,28.99,724.57,3607.62,8,1,36,12,0,2
61478852.0,8400.0,8400.0,16.99,299.45,890.42,0,1,36,18,1,2
41183017.0,17550.0,17550.0,21.67,481.43,20450.2,2,1,60,25,1,3
46786916.0,6000.0,6000.0,28.99,201.27,1431.89,5,1,36,12,1,2
65642870.0,12000.0,12000.0,28.99,382.55,41913.62,11,1,36,7,1,2
66632123.0,21000.0,21000.0,13.67,714.37,682.47,12,1,36,14,1,2
52199534.0,12000.0,12000.0,28.99,1372.97,1693.57,6,1,60,5,0,2
39730671.0,35000.0,35000.0,28.99,796.18,8732.72,1,1,60,12,1,1
56622510.0,3600.0,3600.0,16.99,128.34,642.83,7,1,36,18,1,2
65692571.0,13000.0,13000.0,28.99,264.72,41913.62,11,1,60,6,0,2
46295185.0,11000.0,11000.0,28.99,360.08,3227.29,4,1,36,9,1,2
58832358.0,9500.0,9500.0,28.99,294.47,1197.04,8,1,36,4,1,2
53222282.0,18850.0,18850.0,20.99,509.85,3190.98,7,1,60,25,1,4
48276008.0,7500.0,7500.0,28.99,239.1,1908.98,5,0,36,7,0,3
39299787.0,29850.0,29850.0,16.49,733.69,8222.65,1,1,60,18,0,3
47551165.0,30000.0,30000.0,23.99,1372.97,6862.98,5,1,60,27,1,2
61712601.0,18025.0,18025.0,28.99,403.61,1229.28,10,1,60,11,0,4
65594568.0,2100.0,2100.0,28.99,68.75,68.11,11,1,60,9,1,3
50567210.0,30000.0,30000.0,17.57,1078.12,3205.08,6,0,36,20,1,2
62347203.0,11200.0,11200.0,28.99,399.26,1176.64,10,1,36,18,1,2
43924642.0,18150.0,18150.0,17.57,456.66,4074.51,4,1,60,19,0,3
41226723.0,15125.0,15125.0,16.99,375.82,3743.92,2,1,60,18,1,3
38448211.0,8000.0,1000.0,28.99,253.18,3034.31,1,1,36,6,0,2
63158279.0,7200.0,1000.0,28.99,241.53,477.98,10,1,36,12,1,2
66520424.0,9800.0,1000.0,28.99,315.12,0.0,12,1,36,8,1,4
38467857.0,10000.0,10000.0,28.99,336.9,11072.03,1,1,36,12,0,3
55968781.0,16750.0,16750.0,17.57,421.44,2090.85,8,1,60,19,0,2
65089289.0,30000.0,30000.0,28.99,989.14,969.99,12,1,36,10,1,4
65403660.0,12500.0,12500.0,28.99,387.46,374.86,11,1,36,4,1,3
40372163.0,25000.0,25000.0,17.86,632.94,6937.53,2,1,60,20,1,4
53040428.0,7700.0,7700.0,28.99,254.03,1514.32,7,1,36,10,0,2
59210835.0,35000.0,15200.0,28.99,330.41,1312.36,9,1,60,9,1,1
64872909.0,20000.0,20000.0,28.99,450.88,880.78,11,1,60,12,0,0
58410618.0,35000.0,35000.0,16.99,1247.68,4924.65,8,1,36,18,0,4
44755624.0,25000.0,25000.0,28.99,505.6,4033.84,4,1,60,5,1,3
55130401.0,4800.0,4800.0,16.99,171.11,851.02,7,1,36,18,1,1
37978181.0,12000.0,12000.0,14.31,1372.97,7548.35,1,1,36,14,0,2
43106337.0,35000.0,35000.0,28.99,760.82,6826.01,4,1,60,9,1,2
65332148.0,24000.0,24000.0,13.18,548.29,1079.01,11,1,60,13,1,2
59199592.0,22800.0,22800.0,13.33,771.86,3070.56,9,1,36,13,0,3
40582979.0,24000.0,24000.0,28.99,790.74,9501.41,2,1,36,10,1,2
44085228.0,16000.0,16000.0,18.84,413.65,3706.1,3,1,60,22,1,2
46777111.0,12000.0,12000.0,28.99,392.81,3135.15,5,1,36,10,0,1
46349070.0,8000.0,8000.0,28.99,268.36,8535.35,4,1,36,12,1,3
46486249.0,19200.0,19200.0,28.99,407.85,3241.49,4,1,60,8,0,3
61522878.0,18500.0,18500.0,28.99,402.15,1178.21,10,1,60,9,0,1
63823540.0,14000.0,14000.0,17.57,352.25,947.42,11,1,60,20,1,3
61394215.0,20750.0,20750.0,28.99,661.49,1359.97,10,1,36,10,1,4
56009236.0,8200.0,8200.0,14.65,282.86,8549.16,7,1,36,15,1,4
44856133.0,20400.0,20400.0,16.99,506.89,4580.64,4,1,60,18,1,4
67838623.0,16000.0,1000.0,16.55,566.87,0.0,12,1,36,17,1,2
63290338.0,13500.0,13500.0,23.99,388.29,659.63,10,1,60,28,1,2
56300327.0,24375.0,24375.0,22.99,687.01,3403.92,8,1,60,30,1,2
38311414.0,15000.0,15000.0,13.66,346.39,4145.3,1,1,60,13,0,2
38626358.0,8000.0,8000.0,14.31,274.63,3014.57,1,1,36,14,1,2
66433648.0,10000.0,10000.0,28.99,325.69,319.78,12,1,36,9,0,1
43749561.0,28375.0,28375.0,13.99,969.66,8704.89,3,1,36,14,1,3
52738877.0,13150.0,13150.0,17.86,474.49,41913.62,6,1,36,20,1,4
48212284.0,35000.0,23000.0,18.25,587.19,4650.88,5,1,60,21,1,4
63415193.0,5400.0,5400.0,28.99,179.49,41913.62,11,1,36,11,1,4
61470409.0,10400.0,10400.0,13.99,355.4,1058.12,10,1,36,14,1,1
61493421.0,10000.0,10000.0,13.99,232.64,682.38,10,1,60,14,1,1
39389147.0,16000.0,16000.0,28.99,359.08,3927.85,1,1,60,11,1,1
66463837.0,28600.0,28600.0,18.99,741.75,0.0,12,1,60,23,1,2
51526688.0,1600.0,1600.0,13.99,54.68,381.52,6,1,36,14,1,0
46546565.0,18000.0,1000.0,22.99,507.33,4046.51,4,1,60,26,1,4
