,ID_CLIENTE,TIPO_FUNCIONARIO,DIA_PAGAMENTO,TIPO_ENVIO_APLICACAO,QUANT_CARTOES_ADICIONAIS,TIPO_ENDERECO_POSTAL,SEXO,ESTADO_CIVIL,QUANT_DEPENDENTES,NIVEL_EDUCACIONAL,ESTADO_NASCIMENTO,CIDADE_NASCIMENTO,NACIONALIDADE,ESTADO_RESIDENCIAL,CIDADE_RESIDENCIAL,BAIRRO_RESIDENCIAL,FLAG_TELEFONE_RESIDENCIAL,CODIGO_AREA_TELEFONE_RESIDENCIAL,TIPO_RESIDENCIA,MESES_RESIDENCIA,FLAG_TELEFONE_MOVEL,FLAG_EMAIL,RENDA_PESSOAL_MENSAL,OUTRAS_RENDAS,FLAG_VISA,FLAG_MASTERCARD,FLAG_DINERS,FLAG_AMERICAN_EXPRESS,FLAG_OUTROS_CARTOES,QUANT_CONTAS_BANCARIAS,QUANT_CONTAS_BANCARIAS_ESPECIAIS,VALOR_PATRIMONIO_PESSOAL,QUANT_CARROS,EMPRESA,ESTADO_PROFISSIONAL,CIDADE_PROFISSIONAL,BAIRRO_PROFISSIONAL,FLAG_TELEFONE_PROFISSIONAL,CODIGO_AREA_TELEFONE_PROFISSIONAL,MESES_NO_TRABALHO,CODIGO_PROFISSAO,TIPO_OCUPACAO,CODIGO_PROFISSAO_CONJUGE,NIVEL_EDUCACIONAL_CONJUGE,FLAG_DOCUMENTO_RESIDENCIAL,FLAG_RG,FLAG_CPF,FLAG_COMPROVANTE_RENDA,PRODUTO,FLAG_REGISTRO_ACSP,IDADE,CEP_RESIDENCIAL_3,CEP_PROFISSIONAL_3,ROTULO_ALVO_MAU=1
0,2,C,15,Carga,0,1,F,2,0,0,RJ,rio de janeiro,1,RJ,RIO DE JANEIRO,CAMPO GRANDE,Y,20,1.0,1.0,N,1,750.0,0.0,0,0,0,0,0,0,0,0.0,0,Y, ,,,N, ,0,11.0,4.0,11.0,,0,0,0,0,1,N,34,230,230,1
1,3,C,5,Web,0,1,F,2,0,0,RN,GARANHUNS,1,RN,Parnamirim,Boa Esperanca,Y,105,1.0,,N,1,500.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,11.0,,,,0,0,0,0,1,N,27,591,591,0
2,4,C,20,Web,0,1,F,2,0,0,PE,CABO,1,PE,CABO,PONTE DOS CARVALHOS,N, ,,,N,1,500.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,,,,,0,0,0,0,1,N,61,545,545,0
3,5,C,10,Web,0,1,M,2,0,0,RJ,RIO DE JANEIRO,1,RJ,Rio de Janeiro,Santa Cruz,Y,20,1.0,12.0,N,1,1200.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,9.0,5.0,,,0,0,0,0,1,N,48,235,235,1
4,6,C,10,0,0,1,M,2,0,0,MG,CARMO DO RIO CLARO,1,MG,ALFENAS,Campos Eliseos,Y,33,1.0,4.0,N,1,500.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,MG,ALFENAS,JARDIM SAO CARLOS,N, ,0,9.0,2.0,0.0,0.0,0,0,0,0,2,N,40,371,371,1
5,7,C,15,Carga,0,1,F,2,2,0,BA,salvador,1,BA,SALVADOR,VALERIA,Y,81,1.0,1.0,N,1,320.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,11.0,4.0,11.0,,0,0,0,0,1,N,40,413,413,1
6,8,C,25,Web,0,1,F,1,0,0,MG,ATALEIA,1,SP,Itapecerica da Serra,Lagoa,N, ,1.0,4.0,N,1,489.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,SP,Barueri,alphaville Industrial,Y,5,0,11.0,2.0,,,0,0,0,0,1,N,28,686,686,0
7,9,C,15,0,0,1,F,1,0,0,SP,LENCOIS PAULISTA,1,SP,MACATUBA,PLANALTO,Y,12,1.0,0.0,N,1,450.0,0.0,0,0,0,0,0,1,1,0.0,1,Y, ,,,N, ,0,0.0,2.0,0.0,0.0,0,0,0,0,2,N,31,172,172,0
8,10,C,5,0,0,1,F,1,0,0,RS,SANTA MARIA,1,RS,PORTO ALEGRE,BOM JESUS,Y,54,1.0,5.0,N,1,1507.0,0.0,1,1,0,0,0,1,1,0.0,1,Y,RS,PORTO ALEGRE,MENINO DEUS,Y,54,0,9.0,2.0,11.0,0.0,0,0,0,0,1,N,41,914,914,0
9,11,C,25,Web,0,1,F,2,0,0,CE,QUIXADA,1,CE,FORTALEZA,PASSARE,Y,107,1.0,10.0,N,1,200.0,0.0,0,1,0,0,0,0,0,0.0,0,Y, ,,,N, ,0,9.0,4.0,,,0,0,0,0,1,N,36,607,607,0
10,12,C,15,Web,0,1,F,1,1,0,MG,ARAGUARI,1,MG,ARAGUARI,NOVO HORIZONTE,Y,32,1.0,6.0,N,1,403.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,MG,ARAGUARI,CENTRO,Y,32,0,9.0,2.0,,,0,0,0,0,2,N,29,384,384,0
11,13,C,25,Web,0,1,F,1,1,0,MG,MONTES CLAROS,1,MG,ENGENHEIRO NAVARRO,CENTRO,Y,39,1.0,2.0,N,1,380.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,,,,,0,0,0,0,1,N,41,394,394,0
12,14,C,25,0,0,1,F,2,2,0,PE,CANAIBA,1,SP,Guarulhos,Cidade Martins,Y,5,1.0,12.0,N,1,607.0,0.0,0,0,0,0,0,0,0,0.0,1,Y,SP,GRS,JD STA EMILIA,Y,5,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,36,713,713,0
13,15,C,5,Web,0,1,F,1,0,0,RN,BELEM DO B DO CRUZ,1,RN,NATAL,PLANALTO,Y,105,1.0,3.0,N,1,375.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,RN,NATAL,NEOPOLIS,Y,105,0,9.0,,,,0,0,0,0,1,N,19,590,590,1
14,16,C,20,Web,0,1,F,2,1,0,CE,IPU,1,CE,Caucaia,Parque Potira,N, ,1.0,18.0,N,1,550.0,0.0,0,1,0,0,0,0,0,0.0,0,Y,CE,Caucaia,Parque Potira,Y,107,0,2.0,4.0,,,0,0,0,0,1,N,49,616,616,0
15,17,C,25,Web,0,1,F,1,0,0,RS,Carazinho,1,RS,Igrejinha,Viaduto,Y,54,2.0,0.0,N,1,594.8,0.0,0,0,0,0,0,0,0,0.0,0,Y,RS,Igrejinha,Centro,N, ,0,9.0,2.0,,,0,0,0,0,1,N,27,956,956,0
16,18,C,10,0,0,1,F,1,0,0,RJ,RIO DE JANEIRO,1,RJ,MENDES,HUMBERTO ANTUNES,Y,24,1.0,25.0,N,1,457.0,134.0,0,0,0,0,0,0,0,50000.0,1,Y,RJ,MENDES,CENTRO,Y,24,0,13.0,2.0,0.0,0.0,0,0,0,0,1,N,32,267,267,0
17,19,C,1,Web,0,1,M,2,2,0,CE,FORTALEZA,1,CE,Fortaleza,Vila Velha,Y,107,1.0,10.0,N,1,1992.9,0.0,0,0,0,0,0,0,0,0.0,0,Y,CE,Fortaleza,CIDADE DOS FUNCIONARIOS,N, ,0,9.0,2.0,,,0,0,0,0,1,N,58,603,603,0
18,20,C,15,Web,0,1,M,1,3,0,PA,CHAVES,1,AP,Macapa,PEDRINHAS,Y,123,2.0,1.0,N,1,600.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,,4.0,,,0,0,0,0,1,N,31,689,689,0
19,21,C,1,Web,0,1,M,2,1,0,RS,MISSOES,1,MS,MARACAJU,dom bosco,Y,75,1.0,2.0,N,1,2233.54,0.0,0,0,0,0,0,0,0,0.0,0,Y,MS,MARACAJU,CENTRO,Y,75,0,7.0,2.0,,,0,0,0,0,1,N,40,791,791,0
20,22,C,10,Web,0,1,M,1,3,0,CE,MARANGUAPE,1,CE,PACATUBA,JEREISSATE II,Y,107,1.0,,N,1,612.0,0.0,1,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,,1.0,,,0,0,0,0,1,N,69,618,618,0
21,23,C,1,Web,0,1,M,2,2,0,PB,PRINCESA ISABEL,1,DF,CEILANDIA,NORTE,Y,66,5.0,4.0,N,1,966.3,0.0,1,0,0,0,0,0,0,0.0,0,Y, ,,,Y,66,0,9.0,5.0,,,0,0,0,0,1,N,39,722,722,0
22,24,C,5,Web,0,1,F,1,0,0,CE,QUIXERAMUBIM,1,CE,FORTALEZA,PICI,Y,107,1.0,,N,1,748.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,,,N, ,0,,4.0,,,0,0,0,0,1,N,42,605,605,0
