,0
remainder__remainder__Type_of_Loan_encoded_1,0.08447680803908826
remainder__remainder__Type_of_Loan_encoded_2,0.07561096688151758
remainder__remainder__Outstanding_Debt,0.06231947119289596
remainder__remainder__Interest_Rate,0.052463874026176055
oe1__remainder__Credit_Mix,0.03998394302218634
remainder__remainder__Type_of_Loan_encoded_0,0.0394168457971433
remainder__remainder__Delay_from_due_date,0.038616083872610514
remainder__Credit_Card_Utilization,0.03208909733808615
remainder__DTI_Ratio,0.031139027445160457
remainder__Credit_History_Age_Months,0.029419852729115042
remainder__knn__Changed_Credit_Limit,0.02925852683135824
remainder__knn__Num_Credit_Inquiries,0.02731638730967515
remainder__knn__Num_of_Delayed_Payment,0.027089440486071436
remainder__EMI_to_Income,0.02445284116499412
remainder__remainder__Num_Credit_Card,0.02413122698659288
remainder__remainder__Total_EMI_per_month,0.0225421012563675
remainder__remainder__Num_Bank_Accounts,0.02250655438193697
remainder__remainder__Credit_Utilization_Ratio,0.021862373436615904
remainder__remainder__Month_encoded_0,0.021536077092479077
remainder__knn__Monthly_Balance,0.021230364893904733
remainder__knn__Amount_invested_monthly,0.020980087117678535
remainder__remainder__Annual_Income,0.020964683607854705
remainder__knn__Monthly_Inhand_Salary,0.020796090731358966
remainder__remainder__Month_encoded_2,0.020127837617506947
remainder__knn__Num_of_Loan,0.02011444071810177
remainder__Delayed_Payment_Percentage,0.019980059821734678
remainder__Monthly_Savings,0.01990433513272879
remainder__knn__Age,0.018918226503842887
remainder__Loan_to_Income,0.018666240591005575
remainder__remainder__Month_encoded_1,0.017975393080334877
oe2__remainder__Payment_Behaviour,0.011251572364257292
ohe__remainder__Payment_of_Min_Amount_Scientist,0.0016390142406646534
ohe__remainder__Occupation_Lawyer,0.0015909293173565992
ohe__remainder__Occupation_Scientist,0.0015883951014390538
ohe__remainder__Payment_of_Min_Amount_Lawyer,0.001561561886009252
ohe__remainder__Payment_of_Min_Amount_Lawyer,0.0015556022086711605
ohe__remainder__Payment_of_Min_Amount_Mechanic,0.001554895907755751
ohe__remainder__Occupation_Architect,0.0015444834774877413
ohe__remainder__Payment_of_Min_Amount_Scientist,0.0015437672043214458
ohe__remainder__Payment_of_Min_Amount_Engineer,0.001533903508663121
ohe__remainder__Payment_of_Min_Amount_Mechanic,0.0015313014437483496
ohe__remainder__Occupation_Mechanic,0.0015216474250040158
ohe__remainder__Payment_of_Min_Amount_Developer,0.0015164993889382958
ohe__remainder__Occupation_Teacher,0.0015163057666204658
ohe__remainder__Occupation_Engineer,0.0015159076855351386
ohe__remainder__Payment_of_Min_Amount_Manager,0.0015135296921351482
ohe__remainder__Payment_of_Min_Amount_Entrepreneur,0.001504803006461177
ohe__remainder__Payment_of_Min_Amount_Entrepreneur,0.0015032639368835143
ohe__remainder__Payment_of_Min_Amount_Engineer,0.001500818900806681
ohe__remainder__Payment_of_Min_Amount_Media_Manager,0.0014980905245427106
ohe__remainder__Occupation_Developer,0.0014979291656771528
ohe__remainder__Payment_of_Min_Amount_Architect,0.0014971399348197927
ohe__remainder__Payment_of_Min_Amount_Teacher,0.0014944479527584642
ohe__remainder__Occupation_Entrepreneur,0.0014935454798094309
ohe__remainder__Payment_of_Min_Amount_Teacher,0.0014919082570931477
ohe__remainder__Payment_of_Min_Amount_Developer,0.0014915996716343496
ohe__remainder__Payment_of_Min_Amount_Media_Manager,0.0014899250883420514
ohe__remainder__Payment_of_Min_Amount_Architect,0.001484981747484102
ohe__remainder__Payment_of_Min_Amount_Manager,0.0014834278324347056
ohe__remainder__Payment_of_Min_Amount_Doctor,0.0014820510649529413
ohe__remainder__Occupation_Journalist,0.0014741813556521446
ohe__remainder__Occupation_Doctor,0.001468893431744364
ohe__remainder__Payment_of_Min_Amount_Writer,0.0014678795630452136
ohe__remainder__Occupation_Media_Manager,0.001466538644942914
ohe__remainder__Occupation_Manager,0.0014643234763599005
ohe__remainder__Payment_of_Min_Amount_Journalist,0.001445920504747026
ohe__remainder__Payment_of_Min_Amount_Journalist,0.0014428655784281157
ohe__remainder__Payment_of_Min_Amount_Doctor,0.0014391162386617274
ohe__remainder__Payment_of_Min_Amount_Musician,0.0014207765123465902
ohe__remainder__Payment_of_Min_Amount_Writer,0.0014165574077112466
ohe__remainder__Payment_of_Min_Amount_Musician,0.0014061435994862492
ohe__remainder__Occupation_Writer,0.0014060127462271236
ohe__remainder__Occupation_Musician,0.001398282652216293
